id,name,age,age_bucket,score,score_category,rating,balance,is_active,birth_date,days_since_birth,created_at,tag_count,tags_str,street,city,zip_code,category_id,byte_flag,high_value
1,user_00001,26,young,73.65,high,3.71,43530.77,true,1997-11-07,10385,2020-04-08 17:53:19,1,clothing,Oak Ave,New York,46048,28,59,true
2,user_00002,46,middle,58.93,medium,4.24,-9610.07,true,1997-11-30,10362,2022-11-23 02:55:03,3,"food, clothing, beauty",Main St,Houston,95181,14,23,false
5,user_00005,77,senior,64.0,medium,3.23,31076.86,true,1980-07-19,16705,2020-04-09 17:34:02,3,"toys, food, electronics",Maple Dr,Houston,31417,28,80,false
8,user_00008,18,young,95.38,high,4.5,5803.34,true,2005-07-18,7575,2020-11-26 14:33:57,3,"sports, clothing, food",Oak Ave,Phoenix,66985,98,41,false
9,user_00009,77,senior,36.3,medium,4.94,38406.49,true,1965-03-13,22312,2022-01-18 08:41:14,1,clothing,Main St,Philadelphia,74042,94,124,false
10,user_00010,34,middle,52.77,medium,3.43,47861.77,true,1987-12-19,13996,2023-05-24 15:01:19,3,"beauty, home, sports",Oak Ave,Chicago,26828,16,63,false
11,user_00011,53,senior,23.01,low,1.88,-5740.41,true,1980-07-15,16709,2020-07-28 09:43:56,1,books,Cedar Ln,Los Angeles,54313,10,60,false
12,user_00012,54,senior,47.27,medium,4.14,38449.82,true,1968-06-17,21120,2020-10-28 03:41:06,4,"books, sports, toys, beauty",Pine Rd,Dallas,38080,94,13,false
14,user_00014,44,middle,48.56,medium,1.85,14062.42,true,1974-10-08,18816,2023-03-23 10:17:02,1,toys,Main St,New York,22224,34,116,false
15,user_00015,30,young,29.67,low,4.87,24750.82,true,1988-02-19,13934,2020-06-26 14:33:06,1,beauty,Pine Rd,San Antonio,82845,65,40,false
16,user_00016,22,young,67.52,high,1.94,-2806.8,true,1963-07-26,22908,2025-04-08 08:25:58,1,toys,Main St,Los Angeles,34356,85,80,false
17,user_00017,43,middle,13.09,low,3.58,17433.47,true,1960-11-01,23905,2023-11-24 20:14:42,1,clothing,Pine Rd,Houston,97782,69,54,false
19,user_00019,31,middle,68.75,high,4.41,20324.54,false,1964-07-22,22546,2020-10-13 18:16:20,4,"home, electronics, toys, food",Maple Dr,Phoenix,46930,99,33,false
